number,value,datetime_start,datetime_complete,duration,params_fast_window,params_slow_window,state
0,1.6466558306281274,2025-10-02 17:19:49.563110,2025-10-02 17:20:00.151586,0 days 00:00:10.588476,14,97,COMPLETE
1,1.6718175619962452,2025-10-02 17:20:00.152504,2025-10-02 17:20:00.253612,0 days 00:00:00.101108,24,68,COMPLETE
2,1.0030602383408973,2025-10-02 17:20:00.255583,2025-10-02 17:20:00.346881,0 days 00:00:00.091298,9,32,COMPLETE
3,1.2915720049387585,2025-10-02 17:20:00.347468,2025-10-02 17:20:00.447798,0 days 00:00:00.100330,6,90,COMPLETE
4,1.9462539922868027,2025-10-02 17:20:00.448470,2025-10-02 17:20:00.546345,0 days 00:00:00.097875,20,77,COMPLETE
5,1.224689191054779,2025-10-02 17:20:00.546870,2025-10-02 17:20:00.612041,0 days 00:00:00.065171,5,98,COMPLETE
6,-1.0517880882401096,2025-10-02 17:20:00.612547,2025-10-02 17:20:00.698948,0 days 00:00:00.086401,26,37,COMPLETE
7,0.970115950057275,2025-10-02 17:20:00.699656,2025-10-02 17:20:00.794312,0 days 00:00:00.094656,9,34,COMPLETE
8,2.546479296583082,2025-10-02 17:20:00.794889,2025-10-02 17:20:00.897159,0 days 00:00:00.102270,12,62,COMPLETE
9,2.6206169296642874,2025-10-02 17:20:00.897691,2025-10-02 17:20:00.994476,0 days 00:00:00.096785,16,43,COMPLETE
